ticker,business_date,Open,High,Close,adj_close,Volume
NVDA,2016-10-20,1.68,1.7,1.69,1.67,312084000
NVDA,2016-10-21,1.69,1.69,1.69,1.66,279508000
NVDA,2016-10-24,1.7,1.77,1.77,1.74,339836000
NVDA,2016-10-25,1.76,1.81,1.8,1.77,397460000
NVDA,2016-10-26,1.78,1.82,1.8,1.78,333792000
NVDA,2016-10-27,1.82,1.82,1.77,1.74,388664000
NVDA,2016-10-28,1.78,1.8,1.76,1.74,290856000
NVDA,2016-10-31,1.77,1.79,1.78,1.75,252388000
NVDA,2016-11-01,1.79,1.8,1.73,1.7,473224000
NVDA,2016-11-02,1.74,1.76,1.72,1.69,295848000
NVDA,2016-11-03,1.73,1.73,1.7,1.67,309664000
NVDA,2016-11-04,1.69,1.72,1.69,1.66,328780000
NVDA,2016-11-07,1.74,1.79,1.78,1.75,487580000
NVDA,2016-11-08,1.79,1.79,1.78,1.75,429884000
NVDA,2016-11-09,1.73,1.77,1.75,1.72,456532000
NVDA,2016-11-10,1.79,1.79,1.69,1.67,869280000
NVDA,2016-11-11,1.99,2.22,2.2,2.16,2175344000
NVDA,2016-11-14,2.2,2.2,2.09,2.06,1348796000
NVDA,2016-11-15,2.11,2.19,2.15,2.12,626092000
NVDA,2016-11-16,2.18,2.31,2.29,2.25,987984000
NVDA,2016-11-17,2.31,2.37,2.31,2.27,832988000
NVDA,2016-11-18,2.31,2.36,2.33,2.3,576060000
NVDA,2016-11-21,2.35,2.36,2.32,2.29,436436000
NVDA,2016-11-22,2.33,2.34,2.34,2.3,330368000
NVDA,2016-11-23,2.34,2.38,2.35,2.31,443236000
NVDA,2016-11-25,2.36,2.38,2.35,2.32,195564000
NVDA,2016-11-28,2.35,2.37,2.35,2.32,278736000
NVDA,2016-11-29,2.35,2.36,2.33,2.3,444568000
NVDA,2016-11-30,2.34,2.35,2.31,2.27,440500000
NVDA,2016-12-01,2.3,2.3,2.19,2.16,1035524000
NVDA,2016-12-02,2.16,2.22,2.21,2.18,478292000
NVDA,2016-12-05,2.25,2.32,2.3,2.26,602284000
NVDA,2016-12-06,2.31,2.34,2.33,2.3,498796000
NVDA,2016-12-07,2.32,2.38,2.38,2.34,480804000
NVDA,2016-12-08,2.38,2.42,2.34,2.3,381544000
NVDA,2016-12-09,2.36,2.36,2.3,2.26,382312000
NVDA,2016-12-12,2.25,2.25,2.24,2.21,601332000
NVDA,2016-12-13,2.25,2.31,2.28,2.25,387796000
NVDA,2016-12-14,2.31,2.43,2.41,2.38,983980000
NVDA,2016-12-15,2.42,2.5,2.47,2.43,746548000
NVDA,2016-12-16,2.5,2.52,2.51,2.47,1089528000
NVDA,2016-12-19,2.49,2.56,2.54,2.5,744656000
NVDA,2016-12-20,2.61,2.65,2.63,2.59,848056000
NVDA,2016-12-21,2.64,2.65,2.65,2.61,576136000
NVDA,2016-12-22,2.67,2.72,2.68,2.64,718612000
NVDA,2016-12-23,2.66,2.75,2.74,2.7,647692000
NVDA,2016-12-27,2.8,2.93,2.93,2.89,1194272000
NVDA,2016-12-28,2.99,3.0,2.73,2.69,2295764000
NVDA,2016-12-29,2.62,2.79,2.79,2.75,2175368000
NVDA,2016-12-30,2.78,2.8,2.67,2.63,1212932000
NVDA,2017-01-03,2.61,2.66,2.55,2.51,1501996000
NVDA,2017-01-04,2.59,2.64,2.61,2.57,1199220000
NVDA,2017-01-05,2.61,2.65,2.54,2.51,984296000
NVDA,2017-01-06,2.57,2.61,2.58,2.54,822856000
NVDA,2017-01-09,2.59,2.7,2.68,2.64,916248000
NVDA,2017-01-10,2.7,2.73,2.66,2.62,880920000
NVDA,2017-01-11,2.65,2.65,2.63,2.59,525664000
NVDA,2017-01-12,2.61,2.62,2.59,2.55,625616000
NVDA,2017-01-13,2.59,2.62,2.59,2.55,457820000
NVDA,2017-01-17,2.58,2.58,2.53,2.49,580612000
NVDA,2017-01-18,2.51,2.58,2.57,2.54,654424000
NVDA,2017-01-19,2.58,2.66,2.63,2.59,644872000
NVDA,2017-01-20,2.65,2.67,2.6,2.56,492024000
NVDA,2017-01-23,2.6,2.65,2.63,2.59,369904000
NVDA,2017-01-24,2.64,2.69,2.68,2.64,428052000
NVDA,2017-01-25,2.73,2.73,2.69,2.66,522760000
NVDA,2017-01-26,2.7,2.75,2.74,2.7,458800000
NVDA,2017-01-27,2.75,2.8,2.79,2.75,471996000
NVDA,2017-01-30,2.77,2.78,2.75,2.71,496004000
NVDA,2017-01-31,2.72,2.75,2.73,2.69,362756000
NVDA,2017-02-01,2.76,2.85,2.85,2.81,590004000
NVDA,2017-02-02,2.83,2.89,2.88,2.84,483240000
NVDA,2017-02-03,2.89,2.9,2.86,2.82,372744000
NVDA,2017-02-06,2.85,2.93,2.93,2.89,506768000
NVDA,2017-02-07,2.97,3.02,2.98,2.93,746224000
NVDA,2017-02-08,2.96,2.98,2.97,2.92,449580000
NVDA,2017-02-09,2.97,2.98,2.91,2.87,842568000
