Date,Ticker,Action,Price,Shares,Transaction Value,Portfolio Value,Profit/Loss
2020-01-02,BTC-USD,buy,6985.47021484375,1.0,6985.47021484375,10000.0,0.0
2020-01-02,TSLA,buy,28.68400001525879,105.0,3011.820001602173,10000.0,0.0
2020-01-05,BTC-USD,sell,7411.3173828125,1.0,7411.3173828125,10515.097208023071,425.84716796875
2020-01-06,SOXL,buy,17.422086715698242,425.0,7404.386854171753,10574.807186126709,0.0
2020-01-06,TSLA,sell,30.1026668548584,105.0,3160.780019760132,10574.807186126709,148.96001815795898
2020-01-08,GME,buy,1.4299999475479126,2217.0,3170.3098837137222,10973.780508041382,0.0
2020-01-09,SOXL,sell,18.67810821533203,425.0,7938.195991516113,11014.394045472145,533.8091373443604
2020-01-10,GME,sell,1.3574999570846558,2217.0,3009.577404856682,10947.883844614029,-160.7324788570404
2020-01-14,GME,buy,1.1775000095367432,9297.0,10947.217588663101,10947.883844614029,0.0
2020-01-21,GME,sell,1.1475000381469727,9297.0,10668.307854652405,10668.974110603333,-278.9097340106964
2020-01-22,BTC-USD,buy,8680.8759765625,1.0,8680.8759765625,10668.974110603333,0.0
2020-01-23,GME,buy,1.1549999713897705,1721.0,1987.754950761795,10394.613759040833,0.0
2020-01-28,BTC-USD,sell,9358.58984375,1.0,9358.58984375,11170.285543441772,677.7138671875
2020-01-28,SOXL,buy,18.891788482666016,495.0,9351.435298919678,11170.285543441772,0.0
2020-01-28,GME,sell,1.0525000095367432,1721.0,1811.352516412735,11170.285543441772,-176.40243434906006
2020-01-29,SOXL,buy,17.850099563598633,101.0,1802.860055923462,10654.649528503418,0.0
2020-01-29,NVDA,buy,6.113295078277588,2.0,12.226590156555176,10654.649528503418,0.0
2020-01-30,GME,buy,0.9825000166893005,3.0,2.9475000500679016,10615.05983543396,0.0
2020-01-31,GME,sell,0.9599999785423279,3.0,2.8799999356269836,9474.171443939209,-0.06750011444091797
2020-02-04,GME,buy,1.0175000429153442,3.0,3.0525001287460327,10751.730825424194,0.0
2020-02-05,NVDA,sell,6.243258476257324,2.0,12.486516952514648,11454.764985322952,0.25992679595947266
2020-02-05,SOXL,sell,19.192113876342773,596.0,11438.499870300293,11454.764985322952,284.20451545715315
2020-02-05,GME,buy,1.0449999570846558,10946.0,11438.569530248642,11454.764985322952,0.0
2020-02-06,GME,sell,1.034999966621399,10949.0,11332.214634537697,11345.275089740753,-109.40739583969054
2020-02-07,TSLA,buy,49.871334075927734,227.0,11320.792835235596,11345.275089740753,0.0
2020-02-10,GME,buy,0.9850000143051147,24.0,23.640000343322754,11696.519627094269,0.0
2020-02-13,GME,sell,1.027500033378601,24.0,24.660000801086426,12192.70190858841,1.0200004577636719
2020-02-13,TSLA,sell,53.599998474121094,227.0,12167.199653625488,12192.70190858841,846.4068183898926
2020-02-15,BTC-USD,buy,9889.4248046875,1.0,9889.4248046875,12192.70190858841,0.0
2020-02-18,GME,buy,1.0149999856948853,2269.0,2303.0349675416946,12445.27319765091,0.0
2020-02-21,SOXL,buy,18.46573829650879,124.0,2289.75154876709,11978.373520970345,0.0
